,state,pr_2018,ebrw_2018,math_2018,total_2018,pr_2019,ebrw_2019,math_2019,total_2019
0,Alabama,0.06,595,571,1166,0.07,583,560,1143
1,Alaska,0.43,562,544,1106,0.41,556,541,1097
2,Arizona,0.29,577,572,1149,0.31,569,565,1134
3,Arkansas,0.05,592,576,1168,0.06,582,559,1141
4,California,0.6,540,536,1076,0.63,534,531,1065
5,Colorado,1.0,519,506,1025,1.0,518,506,1024
6,Connecticut,1.0,535,519,1054,1.0,529,516,1045
7,Delaware,1.0,505,492,997,1.0,499,486,985
8,District of Columbia,0.92,497,480,977,0.94,495,480,975
9,Florida,0.56,550,549,1099,1.0,516,483,999
10,Georgia,0.7,542,522,1064,0.71,538,519,1057
11,Hawaii,0.56,480,530,1010,0.54,550,550,1100
12,Idaho,1.0,508,493,1001,1.0,505,488,993
13,Illinois,0.99,513,506,1019,1.0,509,504,1013
14,Indiana,0.63,542,532,1074,0.66,543,537,1080
15,Iowa,0.03,634,631,1265,0.03,622,622,1244
16,Kansas,0.04,633,631,1264,0.04,618,623,1241
17,Kentucky,0.04,630,618,1248,0.04,620,612,1232
18,Louisiana,0.04,615,595,1210,0.05,610,591,1201
19,Maine,0.99,512,501,1013,0.99,512,502,1014
20,Maryland,0.76,545,535,1080,0.82,535,523,1058
21,Massachusetts,0.8,562,563,1125,0.81,559,561,1120
22,Michigan,1.0,511,499,1010,1.0,507,496,1003
23,Minnesota,0.04,643,655,1298,0.04,636,648,1284
24,Mississippi,0.03,630,606,1236,0.03,628,608,1236
25,Missouri,0.04,633,629,1262,0.04,622,615,1237
26,Montana,0.1,606,592,1198,0.09,603,596,1199
27,Nebraska,0.03,629,623,1252,0.03,628,631,1259
28,Nevada,0.23,574,566,1140,0.2,580,576,1156
29,New Hampshire,0.96,535,528,1063,0.95,533,526,1059
30,New Jersey,0.82,547,547,1094,0.82,544,545,1089
31,New Mexico,0.16,552,540,1092,0.18,543,530,1073
32,New York,0.79,534,534,1068,0.79,531,533,1064
33,North Carolina,0.52,554,543,1097,0.51,554,546,1100
34,North Dakota,0.02,640,643,1283,0.02,627,636,1263
35,Oklahoma,0.08,541,521,1062,0.22,490,472,962
36,Ohio,0.18,552,547,1099,0.19,550,548,1098
37,Oregon,0.48,564,553,1117,0.51,562,550,1112
38,Pennsylvania,0.7,547,539,1086,0.7,545,537,1082
39,Rhode Island,0.97,513,505,1018,1.0,503,492,995
40,South Carolina,0.55,547,523,1070,0.68,526,504,1030
41,South Dakota,0.03,622,618,1240,0.03,633,635,1268
42,Tennessee,0.06,624,607,1231,0.07,618,602,1220
43,Texas,0.66,520,512,1032,0.68,515,507,1022
44,Utah,0.04,480,530,1010,0.04,614,615,1229
45,Vermont,0.64,565,554,1119,0.66,560,546,1106
46,Virginia,0.68,567,550,1117,0.68,567,551,1118
47,Washington,0.69,543,538,1081,0.7,539,535,1074
48,West Virginia,0.28,513,486,999,0.99,483,460,943
49,Wisconsin,0.03,641,653,1294,0.03,635,648,1283
50,Wyoming,0.03,633,625,1258,0.03,623,615,1238
